Price,Close,High,Low,Open,Volume
Ticker,BAC,BAC,BAC,BAC,BAC
Date,,,,,
2018-01-02,25.191648483276367,25.191648483276367,24.94731560141207,25.065269295622517,57121600
2018-01-03,25.107391357421875,25.225346640785794,25.014714157562462,25.191644672110872,57865700
2018-01-04,25.43597984313965,25.64661233231802,25.174794399519648,25.25062222418373,76512500
2018-01-05,25.553936004638672,25.629763836667156,25.318027015328003,25.58763797753956,56445200
2018-01-08,25.37700653076172,25.503385720436118,25.318028075714988,25.4696837461237,42914800
2018-01-09,25.50338363647461,25.730867123499287,25.38542834301823,25.444406793245648,69479100
2018-01-10,25.739290237426758,25.89094589089481,25.537083235135494,25.587636190957113,63532800
2018-01-11,25.831972122192383,25.857248603109873,25.655041576765736,25.831972122192383,59318300
2018-01-12,26.27851676940918,26.286942264050715,25.924654029458537,26.017331256517878,66371600
2018-01-16,26.320636749267578,26.784029208926274,26.143706222360418,26.741901745139977,104467900
2018-01-17,26.27009391784668,26.36277276122938,25.56236836673992,26.11843821303824,124382900
2018-01-18,26.52284812927246,26.716629673657547,26.295364608299348,26.39646893106474,76463800
2018-01-19,26.725051879882812,26.74190286610369,26.505993880006912,26.607098190333673,66491000
2018-01-22,26.910409927368164,26.910409927368164,26.607098598730797,26.682926430890138,53848800
2018-01-23,26.8935604095459,27.070492563246134,26.78403220544469,26.843009054345234,56531400
2018-01-24,27.036787033081055,27.137889730187275,26.80930355409447,26.969383092345716,81585000
2018-01-25,27.036787033081055,27.171591700554945,26.901982365607164,27.163167814961422,62265800
2018-01-26,27.129465103149414,27.129465103149414,26.918832615103216,27.053637278892914,52699900
2018-01-29,27.19687271118164,27.34010451058124,27.112620980238948,27.171597834698336,59126500
2018-01-30,26.859859466552734,27.129470454309985,26.834584591480787,26.91883792471751,60555800
2018-01-31,26.960966110229492,27.205300636962875,26.91884024348178,27.003091976977203,65734100
2018-02-01,27.38222885131836,27.38222885131836,26.92726181596786,26.960963792067307,62367400
2018-02-02,26.918832778930664,27.525452162677823,26.843004954212677,27.331670658175575,96971900
2018-02-05,25.49496078491211,26.94411196509599,24.55975186825351,26.21953717850336,155908300
2018-02-06,26.286935806274414,26.362763632421235,24.686127571617924,24.778806382908122,165878400
2018-02-07,26.32906150817871,26.74190099978715,26.000475334796125,26.219533319383977,101180500
2018-02-08,25.056842803955078,26.438591533654485,25.048417310847338,26.3796146888988,128981300
2018-02-09,25.553936004638672,25.78984499394934,24.54289931559125,25.41913132703215,143071100
2018-02-12,26.219533920288086,26.489143259191053,25.73086659177686,25.798268926502598,95055100
2018-02-13,26.27009391784668,26.455449997613133,25.9162311422933,26.1521401949952,76727300
2018-02-14,26.960966110229492,26.986240987478595,26.168987280781835,26.261666116025367,97251500
2018-02-15,27.137893676757812,27.356953302007966,26.851434921965883,27.2895493514703,68117400
2018-02-16,26.935686111450195,27.18001899930455,26.89356025019901,26.960962592400065,62137800
2018-02-20,26.901981353759766,27.0957628550901,26.75032570680617,26.927256223586475,58573900
2018-02-21,26.851430892944336,27.272694271604326,26.767177574412983,26.79245244507352,72210300
2018-02-22,26.69977569580078,27.07891322515265,26.615522375834228,26.952534048702027,64749700
2018-02-23,26.98623275756836,27.011510841106094,26.75875089670685,26.792451258427757,53626300
2018-02-26,27.314821243286133,27.33167222908051,27.00308604108245,27.1041887418518,61796300
2018-02-27,27.239002227783203,27.677115092513084,27.230575126155184,27.230575126155184,69235500
